design,N,window,write_p50_ms,write_p95_ms,finalization_latency_ms,batch_status,success_count,slot_ids,fin_digest,finalization_stderr
B,16,0,1134.48,1226.96,2003.73,finalized,16,0x62e714bd751190b5c31ef103bc99f0330e4a41c491fd318903faa3a2fe85cbbb;0x31cf501567cc9eb9c9ad028f7ee91a00d090e04a9815fedc3d400fc58f6a29d0;0x258093b0b74950890c87a065b2f2f38747449dc961d4be4455b22b0689759311;0xa3390cb002288cd58e9344344e1598dd8d573459ae6c14c44d7f910c8a38d88f;0xcb9bbac841c9da8ef17d75f656dca5d5f0dadb2d8b668f60d9b13a484a6772f1;0xc7593df319935f2cfd42a4147d1dbe95d43a651983970f759e005ac1d3e93325;0xf05934108dc908515904444ba1512b6310fe48fbe04f4ebfb5156545a489eb05;0x71bb53df001b662b079b1f3192e1b7576b8543e4eb4affc0f6f30dd7722a2efd;0x2155b1310738aa4a258113eaec39f196e0143cbc32b5e15b84b9e831e425d01d;0x4413e1ace01b6755bf8d15bb4ab9a2005699c5167175808d3a2b95bcd91b4c06;0xcdc0ccb26be6a2d2734f7330a4a2800d3d5f90dc4b1e50f8fd5b664831515754;0x4bba8abd78ec21412ef099351dc1a592d3cd3872bb2fdf34260fef04a95bff05;0x8e0bc9060aac5f931cf85ab5a3f317ba29dc3351f1c3870ce35f77f1f21e059a;0x1bdf4a56e42abc54f976042881b0aefe9fbc4e56397c33965d1b7d46eb8e5305;0x21a9a1ada014e0644456182283f29274c78fb989ebbf2b21e3e56c87a43fb1ca;0x22e46c1844712f3c1d763403afff087c6ff46d357c142755ca9c0d5948b0f064,H4N48y5bvKnSr1PR5paX2Dgyr28aHdhRdneJXMrJQrR9,
B,16,1,1129.33,1263.45,2078.35,finalized,16,0x391aeb8a67302bc0bfce85090d472e0d3b6de145db23866880d091ddb1affef6;0x66caad91b95b6efc723783293276735cc0cdf39a26d31608e2b1037166e091a0;0x84f7b0927c2ef979425d1ab665cc63fca94e966d70d576cc22333da6e20b059d;0xda4c8f7e4a95fa8b48cbb1a62789fdfa7b7fae00c52afd45423b99a9d05e486b;0x9be76f01291a1e381f71c155b54c803327a3613b1bce5eeb2824271526a3886b;0x7b3b56e48ea71f4ea9495d93c5a5be67a5eabf0bd60cd52e18d1b1a8b88de376;0xda68e25c7d1a9790bd544e0cab4d792a87b0b388a62a4e5d65d6a744ffe7a384;0xf424c77b85e6b9e5c15f93a0b323941a5b99dd009170fb8b1ecea7f894a03979;0x5efb5553784e65ec82a91bbb955ea9aec68a4fc986a7e5ed76a73fb4be50ac9c;0x36823fc4c9fdc1a64efc8d2be127071729e4edad47132e0bd6bed54e2e5c42f5;0x4efa238d9ee7410554f35412fc7a40dd9e4818d0130732f78896e10f6f08bece;0x61cdc3b3d9fccc1eeb9f1061dc78b43677f9222ee6b509a0696dfad7280e9546;0xdcf7b5339559d45928ff6a32ab557d5ed31b864797754d447fae34f5aaa249b4;0xea65f65ef43f219c0c4693664750d70b2ae2c18d4c6d60ac851d0ed6363f8ef4;0xd12ff13b35b23bde16d8a287da46fe126661125b4d266a8ad52d4769327ddb02;0x094aac09e1fa281ca9c99d786aa5a2d081e7757e282c42b7e00e6a2d207789db,2g2BnfmEDwdpBDqNLdGLyiWqXZmqDYKMgcnLKwEAUjwN,
B,16,2,1149.9,2011.75,2001.33,finalized,16,0x3ba874d8924ec726e8796621c98f5b607ee877f3bcb14f9cca6342d80f9fe6da;0x1514a65580c866dc905c293162ac88d832e20d89f6a7215d6879e794ad745dc6;0x71f22b199096220172f281c076980898fb084c0cbd8b92cc3066970da23e68e9;0xbb34c0ceb18f962b2c1083d804ff0808ae24ef4fb1e39e481c1a5e9c16164e97;0x66b998c06d14bedb470907e043734b1001f4ad63a141951fad63a32e3f3e9f77;0xc1960ef345ca65960ee98fd32ecf95cd7e63cb2ed8c5eb4a90959281da24c1eb;0x42861dc53ee4509a114eb8cac48ef9c5ec36679d86428f53f6281d38a92d6ce9;0x9f550dcd1f6553e44203f1f602d2a69a3c861c2c0fc64f266776068c1264b357;0xda9683f007115de1252e7a9ce000582b75f72e83bdbc0058a9d9e89795de209e;0x7f940ba7716d3b65957570e9267b0788b6ff6de2aab2ecfc797356e1ce18da05;0x5db0ca1350085936daa00553ebf8a7dd980696628e0d3c6c7a6280f551aa6abc;0x321f879e6854e348bbbfccae486e2acf9ad1661fa288cebb9ab310ce922c8661;0xfa11c65481d3c572bb79678e44c4bc8104c68538d06538a4b7eac3fed5594dc7;0xdb5364954299228e8f8cc3ffee68efb61906dff4040c65b434433d2c5f1460b4;0xf0f655f8832823addf73d88c54e51bd8101947838a09af6de94c436a4ea7eb50;0x66874e1146a7c1ef7029dad019f06e83166a9090bf1f38496adc69c3570955d2,C9hC6hz7EXvhYfNBoP53Aaq1aQghKwNGsUcDsg78owSV,
B,16,3,1097.1,1180.45,1955.56,finalized,16,0x22f6cdc1fe5d2a13b82f4fc25d7a679d5ba24b5ed40225df0f8696dee318dab2;0xe8997c6d2e6742b9ccc918135a8b0f4d9b39d9ab49161cd17750f7dca81ccddd;0xc81eb4b9f3956deebe5e3eeb11780dbf342ea25ac3e73ed1fbb9797d1965dd46;0xf74c5aab0f58601297832d4481442dc77b3d0cc8f2823f3429ab228819125c80;0xb63f0d51b910056bd8e0eb39600953934625a51806ef74b4c2dcd89b75d03224;0x47154742546ca64acf457ff76ba3bcb15db932236bc02b55b8b936e358ca8d10;0x14ac2cd5b0132a6ed6a5a9b1cf8d7895dc0f7fb98e74f0a685109ce00d5cb58b;0x0bb8efc15a72d4c8f15d9955aeeec6dbc7166f51546c1502ea6349b180b9f3c3;0x0b082db8569d2fd43c5ab9f43e451ad2d3a74377a2a50fabf8eaa690066c6875;0x066764944a79c719c6ceb9fa6a2d9685a9effd0cc559f52a6858ca27b2f65376;0xa688c8f7bfb593f5ba3d3be0ffa672c6c2023d6d8612a61f647a85801850fcfe;0x1666e7ad310fae73f828951763e26cc4970062f2386ae3dd45408cb442018176;0xb9f6ff53e24bdc5900616d84c550067a4b071567b231cf26a0f8afb49812dbd8;0x500e197e23726a0561077d0184cbc5f22bf261d0bdf6a261b8b966d7c4c0d1be;0x620ff4782eacdddf95d20d327c1c320a56340ea9f5a6d5b4e56041ab90185e3c;0x89ec78e16e6ff4066d5291c840ea2fe186909e0adcf060175a5a91dbf39006a6,AvyVbhatRQGDUBd7ymXL1VQWT2nYR4wWsBxMBafJYddS,
B,16,4,1122.43,1200.84,2084.09,finalized,16,0x83777b9db24b54f646df4a2909e75da66a92cbfa436d48c5e9d82ec196e6e744;0x6c4d2e721f639e1ffd6bd67b602756433e94f93ba7a6498b85814d014b18ed11;0x56111b8ad52e51d420dcfe60b15f138dac077607fcb92e1ffbc460ed138ffe39;0xd63a4d460684fa2f852d61715dd92b66938b57c97987355da0563b6ce2cb127b;0xefdb91e946b0595916fc2e010eb8c7b91cc32182eb89f6c25b61f5860a6c7219;0xf65f03855abe60da265140c3d366c543827878d3cb8dd006006c147e069a31ce;0x19faf68025e8f741c038d52fbc0817aa671bb5ebc738cb2e0d0133073f895431;0x195be3598c381ac92d84b953d8eb10237632bf6abb7509bc30d77a16d1f213d1;0x4f3740f4b86993cba2ffd081644cb54ad33dd6bb9954626e2b6d54b579a94059;0x10e824f4fa6eba92ab2a368736de94ce80f0cf68cd9db6f9d4bd6e6236c291a8;0xf55a5da70d04363ac98a32cd9c8620cace9695458af33bcfd565c1b504963a65;0xc542233c244ac7ed1d6644aaf2d8087f476c6872e7ecfd37036f6fd403a9f5c8;0xa3851812d440f6b4fc81952cc997c78049934efab47d375b302cbbac53e5651d;0x0e287d01e0b735750f83f4fb6354a701537a455cbc832af23a8eab23575dbc14;0xaddd451cb30d7af8fff53af95d8dca440ec7bfccc91aacad670073145c32424b;0xc1aac84888110e4f553e2050ec3fbd8e1ad00f5dbf1dc2279abc4ba6be8eb895,6CYs2j4f1zuz1rpE9urG4eLRvAswgv3GLAX2Wqh4JZo5,
B,16,5,1119.89,1290.69,2354.41,finalized,16,0x66b97cad475b6d5fea5322d7b5b32df1aeab4847081c9c9ba5bfcd2c74f31fc0;0x4dcdf8ccc71d19d29732c4a35fd48e631aa5e237f250b878ae164dc2d54f7c93;0x6477d3943f7620804282eee27895d2e08bf9fcdb4aac32221198ef9309ea4c79;0xb59b7cc4a3ea4e8a7b4352430ecc2e0e4b948e63639c3494f93ac7bdf907a2e9;0x53d9b6064ec3a813d0d00a3b67873bb3f1ac77e6034b6027965a0f9b2d919001;0xd602357d7292ac84db5766c01afb3f40a7eb5adce7f564241f20a702fc45a544;0x8afd7aee6c52fb7d04ca7bc093feee74b10ff8555a6e596fbb0e777a5387f9fd;0xb09ebc3ff0eabfb13e8064025791c0fce9ab39122a5eea79293788b8bf6d79fb;0xcd7892950436833a7fca3514d3c0d5cb79ddd0abe9de6470d4d3800ccd1076af;0xca65c12027de38ae28301af3a064d615007aaeadbaa4e60f183c33f1ea3f27b9;0xdc3e56f6cb9fa97ff43121079eb08ecc53ab35a076587ff99c2ad30c8a56ec59;0xc7e8fdd695bcd73e22733f4774ea1b10af7390b86cad8dd39da55b1d81e57a2b;0xcb3b85f0529c75fd6140e5dd029eb749671fc81a440e6a1b4eee79fed40668c4;0x9564512ec25f4057fe3677389cdf84aa8701ef700c7860ead7da5bfed9f5bd0e;0xaab1cab5137d90d69b53e8943c95123233f1b6ce0d115b94f188a3100d914647;0x718cf36a460e908306facd3dc5d05f1bc5dabe00ace2fa75f82b7051b40ac234,FEq395CK7Mh3N4FQqeyY8WdZr1twwLUDkRuLFw5Lqfi5,
B,16,6,1089.97,1163.34,1975.8,finalized,16,0x31670bae568a5cd16f7b35d06065950bae36e510a9af6a1b871e5de3bb863272;0x31b088c26b507ca4089572d30c49c3697ca230f20485e10451278cc5f520aaf7;0x0349e0824eba88e1d78d2b452efdad0335287bfe071a7f827d707962b4217522;0xfa2f49383fb203dbb4c35025ca4ac928ecf7e9a73c9959de020fa5d2f0386754;0x5c59b96323a5a9a397194a396991e0a40d47b7f544494bdcaead3458b4d16550;0x4c4d8d983736072bfeeb559d1909e22c894feb61dfe5f93fb5787de961033541;0x157c27b7918f83dbafa39a26fc2c0390588502826144250fcd0a3e335a34cad6;0x6cfe9b510b6c6eb8e6a02087d6bc857a2208d41bd6d5f59dd790605e4989037b;0x24665b603a3c90fecffb97bfe62bbffa8c0ac235a3baa5b112f78973a2f9152d;0x677a99030acc1c42931a47a9dd0cb15e612af0bbb641a4d401ef53d53e3290c2;0x167ac25c3651db6472312ff1a4e1c69d7b9139cad8ffaaef9eea847a195e8a21;0x1ceb7a5b86a6b2be3293ce5a9ec8b54c65d3141b6df2f26b366370ae714116ce;0x3ae773eb3fa9cf9feaecc3b6dd38fcfb600e8151918041ad18ddf8ceb78cfef4;0x7eab023e85edae856534cd0f7e8a2cabae67bdc53a23481c7e773ed75901947f;0x9d2e45facad083c6a77c2f296e4a9d65de0ef5429c40413b4b9deb980a15e801;0x4a9b72853fbc09a14baeebe6cb3728472e972e32e74d8f6e6a9e85f0267806eb,BQ63ws3Rxkd5HCdopcfxD5mnFtoVTTBXqhDYwxz7BpE8,
B,16,7,1093.47,1186.27,2255.12,finalized,16,0xc1b84ac469eced558d906387a11cc92493e984152672f879a450aaeb41d7e863;0x2f7d56b8f4f8adf77e7b6d60c185552c6735bdb641fbb606d03973c078ba5d7d;0xfd7495a715077da0fe29e084e6027437f0e806876ea8ed55fd482ea924e460a7;0x553d5f07f5b137ac9f2f6137e6a9cf25845403cce5347a6a6b8a7e9d7fc603e2;0x05702b9f85ff431c5920b8d9837f4bc4d5d943637166c03c11b738d254e757ac;0x0a22a0ba981c9aa67dddd81ad449ac3e2b5721cae968fa1afdb033cd93ba97e4;0x158dc239e6c1be9216b2f82ed9287573931bd2e0741d767437e6d0e800308c96;0xa1d36b6af3ca0c6300b7a86dde88c9d3c499f1deb1a93a7ff28acedf8a332c6f;0x020dd710fafb793e708df964aedbcd0c85344f6c09f43757c951a34295beab0b;0x9a25fa08e84f414e70ee4c1d63e20384ab89f917a234cc85ac96ed59dc4f0720;0xeb699a083af480223139e0e3be28054016afad4d4318f25c63a3ec7350280364;0x46be7079384b629e66c87aef6bb45955db8e62b9910829001fce507048fed873;0x849c931170e4314b3bf82072c7c411fd5bb8a04533ede27295ebaa6c19a98c97;0x7fda7113d1a507609935d9a3ff443540d92e41487b1880160794f1805907e05e;0x9c0c6510d544ae005f95c435df17e5c81c44a12b716d8a44e3193e86ffd8424c;0xac1ebe966910096241b13bca67263554e4d8b50c2b6711b0686be0493902b062,CngiR964zNWKoEzHLrMVNvFhynuZTBxXb26z8L4rqJie,
B,16,8,1149.36,1538.71,1887.17,finalized,16,0x9491a6fc443256cf7b87fcff2ee956f09abc8911f9ddc80e7928ed8fea899655;0xaf92f1266ac1ca81b32507bc1313a6c91f7d5eac2250abc1a8d6230ba9ba6645;0xb935f0b4f794f2f64cda6eb3e551dc736f42779ddd62c5401500b5713c3d3bb6;0xb5110cd3e4d62f7003923f5a4375a654430a96aa4be8bb5a82a1b4f78ce4c75f;0x821650e1e7e8da8e127a52dfed3f3b9b8e96dcb2c32c64320c6ee4e364ed78a4;0xfb793254c9f71621a6e424a41bc7d562ce199bf716191adc0e522f5794dbffed;0xde6cede71c96cf619f775de96bfd058b9d13c10a3e136ab234de2be1b427d1a9;0xeda9372ca5f394dde3fc6bfdb310b79da328245d04064c5386e414e58f672556;0xedc544cb966045d655a4c321d475eadb1aeb0f25ebfbe76107d6bd8455a819c1;0x478ad4843d7abc42585e2b8d3f09750b3a3aed891feced6bb287659b604b1a62;0xc9a1aed00525495e0227d2e24db6c4a02175a6ed708e4d9b3747272a3e596657;0xee684e8a637cdf2bee4b7a9a75b357bd944f62854f11fbe361a8fd1eeae602d0;0x130286acae6879a42494e43fb4a7196022829d50463a2d4aca551ebb114b4a87;0x39c5b4c83cd098aca9e2290eb9bb9c225f084ccf742cc4e954f639ac70ecb089;0x5d8aa6b41d8ee60a3f6ade36e5deed7a1a7ea91be37a6fcc58c6c4a6d9b572b9;0x1f1bf2b28824fabd8001374207e709b1892b1759faea7717f48ddec22fc7d7cc,7oMtt7NH2XiUSU6DaT8HC9KRF1ueUXG65721sMcGfqhj,
B,16,9,1105.82,1214.84,1939.79,finalized,16,0x5ea3efd7b33555c50cfdf42e15ab20b8eb16ae9a700a2166e5dde27e1608cd5d;0xa5a95770c1718ae22c7fb495623ec77245779878eb257211f44527a1958fdc8b;0x03cac87788cbfd3a5cd658013faa6f02f8c7576fe9d9193f79665bd2172d009f;0xc6c795ce4e004a2fe249acb7e82e6d74a501052e02915f66a960980f8cca892c;0x4531bf6a5cc858cae56accdd3363a749ac12a8b722a005127d8a3fe9fd1cabf3;0xc4f6c4c9ad0e5cc975f5fa9f882fa1a54939db3a71f2b912dacf0ba55e134b8c;0xacb85c5fb21d67c96f0cba18f32ee5a3ed2e44cba5b8280b2e95a3645e6e41c9;0x4fa8792472548205b32c90b6676a52b3fcb089279b7f8c3080849f455fa7206a;0x30c72e28986680894b1cd4ebc27596afbea97491541ba7a492da4e04a8668124;0x1e278003a6ade9df952660459c2829ad700179fb18c6f0dd675f068b1bb87f28;0xfd7215143e51d704fedfd6489d17405e6d9d90f83d77f11041733545baca4f6a;0x2f0c15a5c8fdffd4f8263186b3a775d6b60ffaae35c1fa3f8b5097a9178c759a;0x6b53a52689f7d0f1dd88e4d37880592fa75fdad0bf64e067153f273817a47897;0x7aabd3193fbe2bb33b99d3fcb305c64ae53bbfc3eb1100fa0e1dfb7bb875eb5c;0x9de84a5124da5e27d1efc426f55493d6f4a939b011190f137b40e7b6f3e2a99d;0xc3aa614333a84007c525f386d48b351b74d8abf62b6bdd3e8b4600c2221d0521,EncEFwtUrx4AHrmPY8WJopWmnnQTp3D3AiCnZAjwx5Jw,
