fault,design,N,window,success_count,batch_status,write_p50_ms,finalization_latency_ms
F1,A,2,0,1,expired,1287.8,1357.8
F1,A,2,1,1,expired,1376.0,1327.2
F1,A,2,2,1,expired,1313.4,1209.1
F1,A,2,3,1,expired,1195.1,1146.6
F1,A,2,4,1,expired,1277.8,1168.6
F1,A,2,5,1,expired,1232.7,1258.3
F1,A,2,6,1,expired,1246.8,1144.1
F1,A,2,7,1,expired,1250.0,1114.1
F1,A,2,8,1,expired,1231.0,1145.9
F1,A,2,9,1,expired,1214.9,1184.9
F1,A,4,0,3,expired,1251.8,1209.9
F1,A,4,1,3,expired,1266.9,1187.6
F1,A,4,2,3,expired,1260.1,1119.3
F1,A,4,3,3,expired,1480.3,1154.9
F1,A,4,4,3,invalid,1196.4,564.1
F1,A,4,5,3,expired,1150.5,1092.9
F1,A,4,6,3,expired,1260.9,1080.3
F1,A,4,7,3,expired,1099.5,1046.9
F1,A,4,8,3,expired,1239.0,1083.3
F1,A,8,0,7,expired,1204.3,1101.6
F1,A,8,1,6,expired,1182.0,1131.7
F1,A,8,2,3,expired,1182.7,1157.3
F1,A,8,4,6,expired,1161.5,1092.4
F1,A,8,5,6,expired,1176.2,1212.0
F1,A,8,6,6,expired,1242.9,1089.1
F1,A,8,8,6,expired,1239.6,1163.4
F1,A,8,9,6,expired,1252.5,1118.3
F1,A,16,0,9,expired,1179.7,1132.3
F1,A,16,2,11,expired,1197.1,986.0
F1,A,16,3,11,expired,1160.5,1095.5
F1,A,16,4,9,invalid,1193.5,433.7
F1,A,16,6,12,expired,1207.1,1114.7
F1,A,16,7,10,expired,1198.8,1114.7
F1,A,16,8,11,expired,1210.9,1524.0
F1,A,32,0,22,invalid,1251.0,557.9
F1,A,32,3,22,expired,1239.0,1116.9
F1,A,32,4,19,expired,1206.3,1165.6
F1,A,32,5,20,expired,1194.3,1164.3
F1,A,32,6,15,expired,1192.8,1225.5
F1,A,32,7,17,expired,1206.3,1175.0
F1,A,32,8,15,invalid,1182.8,540.6
F1,B,2,0,0,slots_created,,
F1,B,2,1,0,slots_created,,
F1,B,2,2,1,slots_created,1060.4,
F1,B,2,3,0,slots_created,,
F1,B,2,4,0,slots_created,,
F1,B,2,5,1,slots_created,995.5,
F1,B,2,6,1,slots_created,1118.6,
F1,B,2,7,1,slots_created,953.5,
F1,B,2,8,0,slots_created,,
F1,B,2,9,0,slots_created,,
F1,B,4,0,2,slots_created,1009.3,
F1,B,4,1,3,slots_created,1080.0,
F1,B,4,2,3,slots_created,1078.5,
F1,B,4,3,2,slots_created,1128.0,
F1,B,4,4,3,slots_created,1094.4,
F1,B,4,5,2,slots_created,1147.1,
F1,B,4,6,1,slots_created,948.8,
F1,B,4,7,2,slots_created,1203.5,
F1,B,4,8,2,slots_created,1101.5,
F1,B,4,9,1,slots_created,1115.5,
F1,B,8,0,3,slots_created,1115.5,
F1,B,8,1,4,slots_created,1098.0,
F1,B,8,2,6,slots_created,1109.7,
F1,B,8,3,5,slots_created,1080.5,
F1,B,8,4,6,slots_created,1088.5,
F1,B,8,5,5,slots_created,1034.7,
F1,B,8,6,7,slots_created,1101.0,
F1,B,8,7,2,slots_created,989.2,
F1,B,8,8,5,slots_created,1061.2,
F1,B,8,9,2,slots_created,1057.2,
F1,B,16,0,10,slots_created,1095.7,
F1,B,16,1,10,slots_created,1019.1,
F1,B,16,2,6,slots_created,1081.8,
F1,B,16,3,10,slots_created,1075.8,
F1,B,16,4,10,slots_created,1099.9,
F1,B,16,5,6,slots_created,1082.9,
F1,B,16,6,9,slots_created,970.7,
F1,B,16,7,5,slots_created,1039.7,
F1,B,16,8,8,slots_created,1061.1,
F1,B,16,9,6,slots_created,1080.9,
F1,B,32,0,16,slots_created,1009.6,
F1,B,32,1,13,slots_created,1014.7,
F1,B,32,2,17,slots_created,1066.6,
F1,B,32,3,12,slots_created,1054.5,
F1,B,32,4,15,slots_created,987.4,
F1,B,32,5,13,slots_created,1003.9,
F1,B,32,6,14,slots_created,989.5,
F1,B,32,7,13,slots_created,1040.2,
F1,B,32,8,12,slots_created,1054.6,
F1,B,32,9,13,slots_created,1047.3,
F2,A,2,2,1,invalid,1081.7,533.8
F2,A,2,4,0,invalid,,436.8
